Tissue,Description,ZScore,MeanExp,Breadth,CV,NeighborMeanBreadth,NeighborMeanZscore,Label,Probability,,"Supplementary Table S2. Mouse knock out genes with phenotypes in 6 tissues. 191 genes whose germline deletion result in phenotypic aberration that could be unambiguously ascribed to one of the 6 tissues - Heart, Breast, Thyroid, Muscle, Lung, and Ovary. The tables shows a few key feature values for these genes and the overall score for tissue relevance as computed by FUGUE. ",,,,,,,,,,,,,,
Heart,INVS,-0.9379104,2.39382005,0.04994193,0.58737743,0.09879501,-0.7135021,P,0.81191474,,,,,,,,,,,,,,,,
Heart,VCL,-0.270308,61.7593231,0.50058072,0.73870683,0.18304925,-0.6059161,P,0.79668552,,,,,,,,,,,,,,,,
Heart,BMP10,2.19258118,214.903122,0.71312427,1.68488395,0.03832753,-0.8512662,U,0.79568708,,,,,,,,,,,,,,,,
Heart,JUP,-0.2631907,78.0616302,0.80371661,0.46817765,0.18199991,-0.5693625,P,0.78586477,,,,,,,,,,,,,,,,
Heart,LAMA4,-0.4812505,15.2771444,0.31126597,0.65866369,0.19396051,-0.6217058,U,0.78381222,,,,,,,,,,,,,,,,
Heart,MDM4,-1.0249776,6.67008066,0.029036,0.50521421,0.11329321,-0.7104548,U,0.77793974,,,,,,,,,,,,,,,,
Heart,HCN4,1.56459284,6.13884354,0.99883856,0.94390523,0.38410486,-0.1846195,U,0.77387875,,,,,,,,,,,,,,,,
Heart,AKAP9,-1.0544932,5.02449894,0.00464576,0.48161981,0.12923173,-0.6453334,P,0.76350337,,,,,,,,,,,,,,,,
Heart,HSPG2,-0.2151741,60.0752716,0.60278746,0.59527403,0.29403794,-0.4407195,P,0.74811667,,,,,,,,,,,,,,,,
Heart,CAP2,-0.0663873,29.9769344,0.81416957,0.66563839,0.20007335,-0.6475557,U,0.74535412,,,,,,,,,,,,,,,,
Heart,PSEN2,-0.9185151,6.7705431,0.03948897,0.41307697,0.14915756,-0.630086,P,0.74356472,,,,,,,,,,,,,,,,
Heart,TRDN,0.31480625,48.7133522,1,0.46553177,0.22067364,-0.4373433,U,0.74286556,,,,,,,,,,,,,,,,
Heart,MAP3K7,-1.0500079,7.99350929,0.02439024,0.44566989,0.15029743,-0.6565118,N,0.74236178,,,,,,,,,,,,,,,,
Heart,STAT3,-0.6141456,57.4976921,0.16027875,0.71860653,0.1526853,-0.6440065,N,0.74142826,,,,,,,,,,,,,,,,
Heart,DVL2,-1.1572083,10.2821569,0.00232288,0.47059974,0.13986116,-0.6893694,U,0.73975849,,,,,,,,,,,,,,,,
Heart,PEPD,-1.0886182,15.0249157,0.00116144,0.44672725,0.17164427,-0.5393761,N,0.73160017,,,,,,,,,,,,,,,,
Heart,TIMP3,-0.2132058,356.360352,0.51567944,0.78761572,0.26011421,-0.3736774,U,0.72758055,,,,,,,,,,,,,,,,
Heart,ACSL1,-0.3359379,60.2349968,0.40534262,0.77651978,0.48378451,0.23885652,U,0.70595974,,,,,,,,,,,,,,,,
Heart,MKS1,-1.0463138,3.69038367,0.00348432,0.43406057,0.13236008,-0.7196294,P,0.70560139,,,,,,,,,,,,,,,,
Heart,ACE2,0.30507964,8.24078941,0.99186992,0.89071339,0.22222222,-0.6377933,N,0.70107621,,,,,,,,,,,,,,,,
Heart,DSG2,0.11105782,11.3880663,0.80371661,0.78664595,0.25542393,-0.4328737,P,0.69985425,,,,,,,,,,,,,,,,
Heart,ILK,-0.464549,79.2486649,0.30197445,0.3949466,0.14303943,-0.6725177,U,0.69197839,,,,,,,,,,,,,,,,
