Tissue,Transcription Factor,FUGUE Score,,,,,,,
Colon,HAND2,0.913972199,,,,,,,
Colon,UBP1,0.908730567,,,,,,,
Colon,PBX1,0.904606879,,,,,,,
Colon,SETBP1,0.904492319,,,,,,,
Colon,VEZF1,0.90397346,,,,,,,
Colon,SRF,0.90275979,,,,,,,
Colon,ATF4,0.902746856,,,,,,,
Colon,GLYR1,0.900703728,,,,,,,
Colon,MEIS1,0.893666387,,,,,,,
Esophagus,PITX1,0.94833833,,,,,,,
Esophagus,RELA,0.94537133,,,,,,,
Esophagus,MAX,0.937557578,,,,,,,
Esophagus,PRDM1,0.933800042,,,,,,,
Esophagus,ZHX3,0.929349959,,,,,,,
Esophagus,SMAD3,0.928263545,,,,,,,
Esophagus,FOXF2,0.92492485,,,,,,,
Esophagus,SMAD4,0.921137929,,,,,,,
Esophagus,MEIS1,0.919341922,,,,,,,
Esophagus,FOXP1,0.915630639,,,,,,,
Esophagus,STAT3,0.914986193,,,,,,,
Esophagus,ZNF468,0.912397265,,,,,,,
Esophagus,CDC5L,0.912068307,,,,,,,
Esophagus,STAT6,0.910605669,,,,,,,
Esophagus,SRF,0.910182536,,,,,,,
Esophagus,HLF,0.909482181,,,,,,,
Esophagus,HSF1,0.908875883,,,,,,,
Esophagus,TP53,0.908121288,,,,,,,
Esophagus,SREBF1,0.90390265,,,,,,,
Esophagus,NFE2L2,0.903388977,,,,,,,
Esophagus,NFKB1,0.902478397,,,,,,,
Fallopian_Tube,TP53,0.967462838,,,,,,,
Fallopian_Tube,MYC,0.959159315,,,,,,,
Fallopian_Tube,GATA6,0.950335562,,,,,,,
Fallopian_Tube,PBX1,0.938391507,,,,,,,
Fallopian_Tube,ESR1,0.933807969,,,,,,,
Fallopian_Tube,MEIS1,0.930055201,,,,,,,
Fallopian_Tube,ZNF611,0.917053163,,,,,,,
Fallopian_Tube,ATF3,0.88960135,,,,,,,
Fallopian_Tube,SRF,0.880552888,,,,,,,
Fallopian_Tube,EGR1,0.880384743,,,,,,,
Fallopian_Tube,ZNF497,0.877388895,,,,,,,
Fallopian_Tube,WT1,0.873520911,,,,,,,
Fallopian_Tube,NR2F1,0.871639967,,,,,,,
Fallopian_Tube,AR,0.869580209,,,,,,,
Fallopian_Tube,JUNB,0.868768573,,,,,,,
Fallopian_Tube,GATA2,0.864510477,,,,,,,
Fallopian_Tube,SALL1,0.864201963,,,,,,,
Fallopian_Tube,EMX2,0.856610179,,,,,,,
Fallopian_Tube,IRF3,0.85043323,,,,,,,
Fallopian_Tube,MZF1,0.848802149,,,,,,,
Fallopian_Tube,HOXA5,0.848539591,,,,,,,
Heart,CHCHD3,0.976235509,,,,,,,
Heart,NKX2-5,0.971402466,,,,,,,
Heart,GATA4,0.971185625,,,,,,,
Heart,TBX5,0.962299228,,,,,,,
Heart,TBX20,0.954869211,,,,,,,
Heart,ZNF791,0.928973675,,,,,,,
Heart,ZNF410,0.92339766,,,,,,,
Heart,ZNF79,0.916074514,,,,,,,
Heart,ZNF136,0.913504541,,,,,,,
Heart,ZNF260,0.910231292,,,,,,,
Heart,ZNF195,0.91000241,,,,,,,
Heart,ZNF329,0.907236814,,,,,,,
Heart,TIGD1,0.906464577,,,,,,,
Heart,ZBTB25,0.904469013,,,,,,,
Heart,ZNF37A,0.901607931,,,,,,,
Heart,ZNF224,0.89905566,,,,,,,
Heart,ZNF292,0.897436678,,,,,,,
Heart,ZNF717,0.897383213,,,,,,,
Heart,ZBTB3,0.896785319,,,,,,,
Heart,KLF13,0.896228075,,,,,,,
Heart,ZNF230,0.891913295,,,,,,,
Kidney,STAT3,0.984308422,,,,,,,
Kidney,SAFB,0.981432378,,,,,,,
Kidney,ZNF408,0.980327904,,,,,,,
Kidney,FOXI1,0.980190694,,,,,,,
Kidney,RELA,0.979378402,,,,,,,
Kidney,GTF2I,0.978785753,,,,,,,
Kidney,TERF1,0.976412177,,,,,,,
Kidney,SETDB1,0.976274431,,,,,,,
Kidney,HOXB9,0.97621876,,,,,,,
Kidney,NFKB1,0.976152778,,,,,,,
Kidney,PPARA,0.975817025,,,,,,,
Kidney,IRF3,0.975655138,,,,,,,
Kidney,MECP2,0.974740624,,,,,,,
Kidney,HOXA9,0.974506199,,,,,,,
Kidney,HIVEP1,0.974399149,,,,,,,
Kidney,ZHX2,0.973734617,,,,,,,
Kidney,UBP1,0.972982228,,,,,,,
Kidney,ZNF324,0.971597552,,,,,,,
Kidney,NR1H4,0.97155869,,,,,,,
Kidney,ATF4,0.971517324,,,,,,,
Kidney,TCF20,0.971484482,,,,,,,
Liver,NR1I2,0.995831549,,,,,,,
Liver,NR1I3,0.994609356,,,,,,,
Liver,PROX1,0.991990387,,,,,,,
Liver,ATF5,0.987248719,,,,,,,
Liver,ZGPAT,0.982933819,,,,,,,
Liver,FOXA3,0.981128335,,,,,,,
Liver,CREB3L3,0.979421258,,,,,,,
Liver,HNF1A,0.977665305,,,,,,,
Liver,NR5A2,0.976000249,,,,,,,
Liver,NR1H4,0.975579023,,,,,,,
Liver,ONECUT1,0.974091589,,,,,,,
Liver,HNF4A,0.972071648,,,,,,,
Liver,FOXA2,0.969296277,,,,,,,
Liver,CEBPA,0.966252148,,,,,,,
Liver,RORC,0.964076817,,,,,,,
Liver,NR2F6,0.960907698,,,,,,,
Liver,ZKSCAN1,0.95958364,,,,,,,
Liver,CEBPG,0.955640554,,,,,,,
Liver,NR1H3,0.951174855,,,,,,,
Liver,MLXIP,0.948605537,,,,,,,
Liver,ZNF292,0.946758807,,,,,,,
Lung,FOXA2,0.935589433,,,,,,,
Lung,TEAD2,0.924698412,,,,,,,
Lung,KIN,0.914389551,,,,,,,
Lung,IRF1,0.887699366,,,,,,,
Lung,RELA,0.881907523,,,,,,,
Lung,ZNF746,0.881688535,,,,,,,
Lung,HIF3A,0.877221227,,,,,,,
Lung,STAT3,0.874275506,,,,,,,
Lung,ARNT,0.866616428,,,,,,,
Lung,FLI1,0.861230195,,,,,,,
Lung,RARA,0.858522058,,,,,,,
Lung,NFKB1,0.857436538,,,,,,,
Lung,HIF1A,0.854077756,,,,,,,
Lung,NR2F1,0.847600639,,,,,,,
Lung,ETS1,0.834273696,,,,,,,
Lung,FOXF1,0.832634866,,,,,,,
Lung,HOXB5,0.832234323,,,,,,,
Lung,EPAS1,0.830174863,,,,,,,
Lung,SP100,0.827680588,,,,,,,
Lung,IRF3,0.825955987,,,,,,,
Lung,TBX4,0.825288117,,,,,,,
Muscle,NFIC,0.981247246,,,,,,,
Muscle,MEF2C,0.97944963,,,,,,,
Muscle,SMAD3,0.978665054,,,,,,,
Muscle,NFE2L1,0.976288974,,,,,,,
Muscle,NR3C1,0.9749313,,,,,,,
Muscle,HSF1,0.97459054,,,,,,,
Muscle,RXRA,0.973917186,,,,,,,
Muscle,MAFG,0.973633051,,,,,,,
Muscle,ESRRA,0.972258449,,,,,,,
Muscle,NFATC3,0.97154665,,,,,,,
Muscle,PREB,0.971443415,,,,,,,
Muscle,ESRRB,0.969345331,,,,,,,
Muscle,ZBTB16,0.969320953,,,,,,,
Muscle,HSF2,0.969199419,,,,,,,
Muscle,SIX1,0.968989968,,,,,,,
Muscle,FOXO1,0.968478262,,,,,,,
Muscle,GTF2IRD1,0.968107641,,,,,,,
Muscle,TEAD4,0.965745687,,,,,,,
Muscle,RORC,0.965733767,,,,,,,
Muscle,KCMF1,0.964785576,,,,,,,
Muscle,HOXC10,0.964200854,,,,,,,
Nerve,BNC2,0.917978823,,,,,,,
Nerve,NR1H3,0.911527514,,,,,,,
Nerve,NR2F1,0.904569745,,,,,,,
Nerve,NFATC1,0.901290298,,,,,,,
Nerve,FOXO1,0.90096128,,,,,,,
Nerve,STAT3,0.895493805,,,,,,,
Nerve,SREBF2,0.886884153,,,,,,,
Nerve,ZEB2,0.877887368,,,,,,,
Nerve,TEAD1,0.870595574,,,,,,,
Nerve,NR4A1,0.868659675,,,,,,,
Nerve,HOXC6,0.865006208,,,,,,,
Nerve,TERF1,0.863649011,,,,,,,
Nerve,SP1,0.862387419,,,,,,,
Nerve,STAT2,0.85650295,,,,,,,
Nerve,NR2F2,0.855826199,,,,,,,
Nerve,SMAD3,0.854112804,,,,,,,
Nerve,MAF,0.833853781,,,,,,,
Nerve,NR3C1,0.812340498,,,,,,,
Nerve,RELA,0.802911818,,,,,,,
Nerve,PLAG1,0.79924953,,,,,,,
Nerve,KLF15,0.797570407,,,,,,,
Ovary,RELA,0.985803485,,,,,,,
Ovary,JUND,0.983136952,,,,,,,
Ovary,ARNT,0.980851412,,,,,,,
Ovary,SP1,0.964220107,,,,,,,
Ovary,NR4A1,0.964106739,,,,,,,
Ovary,AR,0.961882949,,,,,,,
Ovary,SMAD3,0.959258258,,,,,,,
Ovary,STAT5B,0.957064033,,,,,,,
Ovary,HOXC6,0.955747783,,,,,,,
Ovary,STAT3,0.954807341,,,,,,,
Ovary,L3MBTL3,0.95116514,,,,,,,
Ovary,NKRF,0.948718607,,,,,,,
Ovary,CEBPD,0.946211755,,,,,,,
Ovary,SKI,0.945605874,,,,,,,
Ovary,ZNF512,0.943376958,,,,,,,
Ovary,SAFB2,0.942884624,,,,,,,
Ovary,PBX1,0.941980779,,,,,,,
Ovary,JUN,0.938966274,,,,,,,
Ovary,JUNB,0.937948704,,,,,,,
Ovary,NR2F1,0.936875403,,,,,,,
Ovary,PHF1,0.934411287,,,,,,,
Pancreas,XBP1,0.955596924,,,,,,,
Pancreas,HNF1B,0.952484727,,,,,,,
Pancreas,PDX1,0.952195585,,,,,,,
Pancreas,BHLHA15,0.948341846,,,,,,,
Pancreas,NR5A2,0.943892956,,,,,,,
Pancreas,FOXA2,0.943786561,,,,,,,
Pancreas,PTF1A,0.940261304,,,,,,,
Pancreas,PROX1,0.924984753,,,,,,,
Pancreas,ZNF484,0.924126327,,,,,,,
Pancreas,PRDM10,0.921994567,,,,,,,
Pancreas,HNF1A,0.917799652,,,,,,,
Pancreas,ZBTB37,0.916996121,,,,,,,
Pancreas,ZNF507,0.912652075,,,,,,,
Pancreas,ZNF250,0.9118312,,,,,,,
Pancreas,ZNF582,0.911715031,,,,,,,
Pancreas,ZNF567,0.910075963,,,,,,,
Pancreas,GATA4,0.90390414,,,,,,,
Pancreas,SGSM2,0.9028126,,,,,,,
Pancreas,RFX6,0.900791168,,,,,,,
Pancreas,ZNF543,0.89985168,,,,,,,
Pancreas,ZNF480,0.894012153,,,,,,,
Pituitary,STAT2,0.981489718,,,,,,,
Pituitary,L3MBTL1,0.97943902,,,,,,,
Pituitary,THAP7,0.978399575,,,,,,,
Pituitary,ZNF76,0.97377044,,,,,,,
